,Date,Favored Team,Underdog Team,Favored Spread,Predicted Outcome,Confidence,Vig,Over Under,Predicted Total,Over Under Vig,Over Under Bet To Take,Over Under Conf,Spread Bet To Take,Half Kelly,Quarter Kelly,Over Under H Kelly,Final Score,Spread Cover,Over Cover
455,01/29/2022,Missouri State,Evansville,-16.0,Missouri State Wins By 18.2,50.35%,-120,126.5,134.1,-120.0,Over 126.5,56.35%,Missouri State -16.0,-4.%,-2.%,-0.%,72-58,0.0,1.0
456,01/29/2022,Nevada,Utah State,-1.0,Utah State Wins By 2.5,51.42%,-105,149.5,145.1,-105.0,Under 149.5,54.06%,Utah State +1.0,0.2%,0.1%,2.7%,49-78,1.0,1.0
457,01/29/2022,Texas A&M,South Carolina,-7.0,Texas A&M Wins By 8.1,55.25%,-115,135.0,136.6,-115.0,Over 135.0,56.35%,Texas A&M -7.0,1.9%,0.8%,0.4%,63-74,0.0,1.0
458,01/29/2022,Notre Dame,Virginia,-3.0,Notre Dame Wins By 4.4,55.25%,-110,122.5,131.6,-110.0,Over 122.5,56.35%,Notre Dame -3.0,3.0%,1.5%,1.6%,69-65,1.0,1.0
459,01/29/2022,Hofstra,UNC Wilmington,-4.0,Hofstra Wins By 5.0,51.42%,-105,142.0,139.8,-105.0,Under 142.0,54.06%,Hofstra -4.0,0.2%,0.1%,2.7%,72-78,0.0,0.0
460,01/29/2022,Vanderbilt,Georgia,-9.0,Vanderbilt Wins By 7.8,51.42%,-105,139.5,140.9,-110.0,Over 139.5,56.35%,Georgia +9.0,0.2%,0.1%,1.6%,85-77,1.0,1.0
461,01/29/2022,New Mexico State,Grand Canyon,-5.5,New Mexico State Wins By 2.6,55.25%,-110,134.0,132.4,-110.0,Under 134.0,56.35%,Grand Canyon +5.5,3.0%,1.5%,1.6%,71-61,0.0,1.0
462,01/29/2022,South Alabama,Troy,-2.0,South Alabama Wins By 1.8,51.42%,-105,134.5,134.7,-115.0,Over 134.5,54.06%,Troy +2.0,0.2%,0.1%,0.4%,68-77,1.0,1.0
463,01/29/2022,UC Riverside,Cal St. Fullerton,-1.0,UC Riverside Wins By 3.7,51.42%,-105,133.5,132.2,-110.0,Under 133.5,56.35%,UC Riverside -1.0,0.2%,0.1%,1.6%,67-54,1.0,1.0
464,01/29/2022,Hawaii,UC Santa Barbara,-1.0,Hawaii Wins By 4.7,51.42%,-115,136.0,136.2,-105.0,Over 136.0,56.35%,Hawaii -1.0,-2.%,-1.%,2.7%,65-62,1.0,0.0
465,01/29/2022,Montana State,Idaho,-15.0,Montana State Wins By 12.7,51.42%,-110,147.5,146.4,-105.0,Under 147.5,56.35%,Idaho +15.0,-1.%,-0.%,2.7%,70-64,1.0,1.0
466,01/29/2022,UC Irvine,Cal Poly,-12.5,UC Irvine Wins By 8.2,51.42%,-110,119.5,125.1,-115.0,Over 119.5,56.35%,Cal Poly +12.5,-1.%,-0.%,0.4%,72-48,0.0,1.0
467,01/29/2022,Texas State,UT Arlington,-6.5,Texas State Wins By 5.3,51.42%,-115,129.0,135.6,-110.0,Over 129.0,56.35%,UT Arlington +6.5,-2.%,-1.%,1.6%,58-53,1.0,0.0
