,Date,Favored Team,Underdog Team,Favored Spread,Predicted Outcome,Confidence,Vig,Over Under,Predicted Total,Over Under Vig,Over Under Bet To Take,Over Under Conf,Spread Bet To Take,Half Kelly,Quarter Kelly,Over Under H Kelly,Final Score,Spread Cover,Over Cover
52,11/23/2021,Texas Tech,Nebraska Omaha,-30.5,Texas Tech Wins By 29.1,57.32%,-105,140.0,131.8,-105.0,Under 140.0,56.35%,Nebraska Omaha +30.5,6.3%,3.1%,2.7%,96-40,0.0,1.0
53,11/23/2021,Arkansas,Cincinnati,-5.0,Arkansas Wins By 2.0,55.25%,-110,141.0,137.4,-110.0,Under 141.0,54.76%,Cincinnati +5.0,3.0%,1.5%,1.6%,73-67,0.0,1.0
54,11/23/2021,Providence,Virginia,-2.0,Providence Wins By 3.9,55.25%,-110,121.5,130.6,-110.0,Over 121.5,54.76%,Providence -2.0,3.0%,1.5%,1.6%,40-58,0.0,0.0
55,11/23/2021,Oregon,Saint Mary's,-2.0,Oregon Wins By 1.8,55.25%,-115,131.5,132.0,-110.0,Over 131.5,54.76%,Saint Mary's +2.0,1.9%,0.8%,1.6%,50-62,1.0,0.0
56,11/23/2021,North Carolina,UNC Asheville,-23.5,North Carolina Wins By 19.0,57.32%,-110,157.0,156.0,-110.0,Under 157.0,56.35%,UNC Asheville +23.5,5.2%,2.6%,1.6%,72-53,1.0,1.0
57,11/23/2021,South Dakota State,Washington,-6.5,South Dakota State Wins By 6.0,55.25%,100,156.0,159.7,-120.0,Over 156.0,54.76%,Washington +6.5,5.2%,2.6%,-0.%,76-87,1.0,1.0
58,11/23/2021,Missouri State,East Tennessee State,-7.0,Missouri State Wins By 7.0,55.25%,-105,140.0,138.3,-115.0,Under 140.0,54.76%,Missouri State -7.0,4.1%,2.1%,0.4%,76-77,0.0,0.0
59,11/23/2021,Rhode Island,Florida Gulf Coast,-4.0,Rhode Island Wins By 4.6,51.42%,-115,139.0,141.9,-115.0,Over 139.0,54.06%,Rhode Island -4.0,-2.%,-1.%,0.4%,66-67,0.0,0.0
60,11/23/2021,Buffalo,Stephen F. Austin,-5.0,Buffalo Wins By 4.5,55.25%,-110,155.0,149.1,-120.0,Under 155.0,54.76%,Stephen F. Austin +5.0,3.0%,1.5%,-0.%,78-79,1.0,0.0
61,11/23/2021,Nevada,George Mason,-4.0,George Mason Wins By 2.7,55.25%,-105,144.0,147.3,-120.0,Over 144.0,54.76%,George Mason +4.0,4.1%,2.1%,-0.%,88-69,0.0,1.0
62,11/23/2021,Nebraska,Tennessee State,-16.5,Nebraska Wins By 15.1,57.32%,-110,146.5,145.0,-120.0,Under 146.5,56.35%,Tennessee State +16.5,5.2%,2.6%,-0.%,79-73,1.0,0.0
63,11/23/2021,Stanford,North Carolina A&T,-16.5,Stanford Wins By 12.3,51.42%,-115,134.5,127.4,-120.0,Under 134.5,56.35%,North Carolina A&T +16.5,-2.%,-1.%,-0.%,79-65,1.0,0.0
64,11/23/2021,Kent State,George Washington,-6.0,Kent State Wins By 7.7,55.25%,-105,136.0,138.0,100.0,Over 136.0,54.76%,Kent State -6.0,4.1%,2.1%,3.9%,77-69,1.0,1.0
65,11/23/2021,Toledo,Tulane,-2.5,Toledo Wins By 1.8,55.25%,-110,143.5,148.8,-110.0,Over 143.5,54.76%,Tulane +2.5,3.0%,1.5%,1.6%,68-67,1.0,0.0
66,11/23/2021,South Carolina,Wofford,-3.0,South Carolina Wins By 4.3,55.25%,-115,141.5,142.5,-110.0,Over 141.5,56.35%,South Carolina -3.0,1.9%,0.8%,1.6%,85-74,1.0,1.0
67,11/23/2021,Marshall,Louisiana Lafayette,-5.0,Marshall Wins By 6.3,57.32%,-105,151.5,150.2,100.0,Under 151.5,53.78%,Marshall -5.0,6.3%,3.1%,3.9%,93-79,1.0,0.0
68,11/23/2021,Oakland,Rice,-2.5,Oakland Wins By 1.8,55.25%,-115,144.0,145.8,-110.0,Over 144.0,54.76%,Rice +2.5,1.9%,0.8%,1.6%,76-73,0.0,1.0
69,11/23/2021,Delaware,Fordham,-6.5,Delaware Wins By 2.7,55.25%,-110,133.5,148.1,-110.0,Over 133.5,54.76%,Fordham +6.5,3.0%,1.5%,1.6%,81-71,0.0,1.0
70,11/23/2021,UC Davis,Sacramento State,-8.0,UC Davis Wins By 7.3,57.32%,-115,135.5,145.8,-115.0,Over 135.5,54.76%,Sacramento State +8.0,4.1%,2.1%,0.4%,63-75,1.0,1.0
71,11/23/2021,Cal St. Fullerton,UT Rio Grande Valley,-9.5,Cal St. Fullerton Wins By 7.8,55.25%,-105,145.0,145.7,100.0,Over 145.0,54.76%,UT Rio Grande Valley +9.5,4.1%,2.1%,3.9%,67-72,1.0,0.0
72,11/23/2021,Merrimack,Hartford,-4.0,Merrimack Wins By 5.5,57.32%,-105,121.0,130.3,-110.0,Over 121.0,53.78%,Merrimack -4.0,6.3%,3.1%,1.6%,75-60,1.0,1.0
73,11/23/2021,New Hampshire,Quinnipiac,-3.5,New Hampshire Wins By 3.6,57.32%,-115,135.0,144.3,-110.0,Over 135.0,56.35%,New Hampshire -3.5,4.1%,2.1%,1.6%,84-69,1.0,1.0
74,11/23/2021,Bellarmine,Central Michigan,-6.5,Bellarmine Wins By 6.9,57.32%,-105,146.0,135.2,100.0,Under 146.0,54.76%,Bellarmine -6.5,6.3%,3.1%,3.9%,76-69,1.0,1.0
75,11/23/2021,Northern Colorado,San Jose State,-4.0,San Jose State Wins By 1.2,51.42%,-110,136.0,131.6,100.0,Under 136.0,56.35%,San Jose State +4.0,-1.%,-0.%,3.9%,74-75,1.0,0.0
76,11/23/2021,UMBC,American,-4.5,UMBC Wins By 4.8,51.42%,-115,141.5,145.7,-105.0,Over 141.5,56.35%,UMBC -4.5,-2.%,-1.%,2.7%,98-67,1.0,1.0
77,11/23/2021,Maine,Central Connecticut,-5.5,Maine Wins By 6.4,57.32%,-110,127.5,135.9,-110.0,Over 127.5,56.35%,Maine -5.5,5.2%,2.6%,1.6%,56-64,0.0,0.0
78,11/23/2021,USC Upstate,South Carolina State,-4.0,South Carolina State Wins By 1.4,51.42%,-110,141.0,147.5,-110.0,Over 141.0,56.35%,South Carolina State +4.0,-1.%,-0.%,1.6%,82-78,1.0,1.0
79,11/21/2021,Purdue,Villanova,-3.0,Purdue Wins By 3.4,55.25%,100,,,,,,Purdue -3.0,5.2%,2.6%,,80-74,1.0,
80,11/21/2021,Michigan,Arizona,-3.5,Michigan Wins By 2.5,55.25%,-110,,,,,,Arizona +3.5,3.0%,1.5%,,62-80,1.0,
